student_id,age,household_income,finance_class,personal_savings
1,18.31857306034336,40042.01275148667,Second Semester,1294.4693008331215
2,19.309467531550162,39600.449562338064,Second Semester,1400.2894410415652
3,24.676124942447373,49820.197594233374,First Semester,1495.405779506099
4,20.211525174273728,48678.24867143265,No Class,849.7369985853751
5,20.387863205482837,24506.57225249568,No Class,734.1687574269635
6,25.145194960649842,60405.73455719376,First Semester,1362.3776014383639
7,21.382748617967607,52497.2573598519,No Class,903.9687453382878
8,16.204816296180397,74162.07373148328,Second Semester,1357.4380341353644
9,17.93944144431942,56851.98238051097,Second Semester,1202.5219630353902
10,18.663014089700127,45530.40691038008,Second Semester,1189.9318868779294
11,23.672245392318384,77973.91146958095,First Semester,1497.4742139939594
12,21.07944148117209,78322.26023915508,No Class,1023.9945456309381
13,21.202314351782157,37812.881837098204,First Semester,1245.2111472876995
14,20.33204814783536,54690.31955955424,First Semester,1497.1259512885013
15,18.332476595737774,47887.5308136785,First Semester,1206.2590619861414
16,25.360739410409234,51870.51146554013,First Semester,1476.2684622446811
17,21.493551434687717,52275.427285688136,First Semester,1424.6010256090974
18,14.100148530111085,37380.99537130948,Second Semester,1198.947395317799
19,22.104067704691058,52855.89580242561,No Class,927.4015101528598
20,18.581625776816196,67492.47363141796,First Semester,1328.2406404540773
21,16.796528882039464,48359.099958651976,Second Semester,1163.0689798674443
22,19.346075256025113,48370.73289301546,Second Semester,1270.3743499244465
23,16.921986655078282,63985.72006337467,First Semester,1210.4163300458843
24,17.81332631212658,58983.96240682948,First Semester,1421.322936344926
25,18.12488219645223,33515.051816187144,No Class,711.3217249745026
26,14.93992006777276,52285.569732621865,First Semester,991.4296372863976
27,22.513361133483574,66535.47234677733,First Semester,1455.3089880029038
28,20.460119353509544,64152.763499191424,No Class,934.5673981012435
29,16.585589188964157,54199.5160381423,First Semester,1124.4512536502486
30,23.76144476320978,57212.20807112894,First Semester,1303.2259048329604
31,21.27939266443044,38030.64787811317,No Class,828.535019323479
32,19.114785551023186,53001.31566881373,Second Semester,1341.3159645826904
33,22.685376983135065,40455.51064812178,Second Semester,1536.6624288669386
34,22.634400462599125,45419.81931903056,Second Semester,1569.5951459531088
35,22.464743244912462,59356.036837796026,No Class,970.7224815363539
36,22.065920762300273,38631.06888308857,No Class,855.1329672844511
37,21.661752960612766,52669.182508730584,First Semester,1356.9208805267594
38,19.814264868269834,54283.32039471543,No Class,865.8445480216722
39,19.08211200878025,50549.119698396295,Second Semester,1255.5133879035645
40,18.858586996962853,68221.88821835416,No Class,906.8670510006564
41,17.915879063238464,39776.5267142475,First Semester,1182.5363751212328
42,19.376248165941202,56061.302614356,First Semester,1432.6049812284011
43,16.203810945295206,49110.69432549333,Second Semester,975.4981036883207
44,26.50686789601554,47391.677561660756,Second Semester,1556.934472130999
45,23.62388599491497,54640.91233852381,Second Semester,1441.3671034393128
46,16.63067425038995,39795.9940931607,Second Semester,1123.5063482923917
47,18.79134549410277,36865.49083481595,Second Semester,1047.4558158651505
48,18.600033939130345,45055.19124516577,Second Semester,1262.694332621444
49,22.339895355008952,67517.57149755448,First Semester,1342.8790408924542
50,19.74989280058451,50557.6477461252,No Class,845.2850227481613
51,20.759955541984265,53314.34398227886,First Semester,1387.8395988516886
52,19.91435973395389,48101.533623224605,No Class,837.9384601347397
53,19.871388628126052,54704.927319538256,No Class,869.6662954414728
54,24.105806852043372,40483.204569828544,No Class,925.5902284104438
55,19.322687043022196,61579.104665686405,Second Semester,1298.085966867756
56,24.54941181328862,55847.05260241352,Second Semester,1520.3495898290828
57,15.353741587309337,41935.47177308295,First Semester,1216.3900144230731
58,21.75384124890821,50545.532458119924,Second Semester,1354.9690230380515
59,20.371562731533842,57163.31619499123,First Semester,1294.723617299371
60,20.64782470623192,55577.30982054603,No Class,897.3212902896878
61,21.138918448279647,64819.34015876881,No Class,958.2642542422335
62,18.49302964067209,43870.122451051495,First Semester,1212.9672785723892
63,19.00037784899174,61161.36615490393,Second Semester,1309.0788159228225
64,16.944273850678734,60365.48009941219,Second Semester,1160.8280331118758
65,16.784626320573267,48375.16868097145,Second Semester,1167.3528116314358
66,20.910585924212775,40240.73307178115,No Class,828.5212430852889
67,21.34462933588828,39108.54809115484,First Semester,1316.541107046707
68,20.159012680191513,54577.86957944971,No Class,877.6597283029939
69,22.76680240363921,49288.73266279106,First Semester,1407.3644044431917
70,26.150254056881433,67791.0266685145,Second Semester,1656.416929037745
71,18.526906501830393,55351.37960496204,No Class,832.5640930797219
72,13.072493373077563,46280.551248365045,No Class,623.5775574341521
73,23.01721557338677,39744.57751502886,First Semester,1518.4269270891014
74,17.872397712252823,44175.98325394748,First Semester,1290.4189508037086
75,17.935974150597925,53428.88392897331,Second Semester,1452.80234163701
76,23.076714109090098,45490.65352943349,Second Semester,1354.9620944478397
77,19.145680978846972,55142.3012023069,First Semester,1485.1487763769765
78,16.337846863236393,46656.61947830218,No Class,723.4185032886027
79,20.54391043924745,48944.400912055244,Second Semester,1420.3802085194604
80,19.583325912682866,42694.90327192172,No Class,800.9742937400946
81,20.017292557699662,69050.43584908705,First Semester,1326.600067453022
82,21.15584120337899,53326.21731470394,Second Semester,1441.5234239234119
83,18.888019904622773,52306.33640499451,No Class,828.1722791636557
84,21.933129645556498,33081.37585115933,Second Semester,1199.6314845655438
85,19.33854031454375,56597.91899549327,No Class,863.1458044137788
86,20.995345891747093,39763.76411120288,Second Semester,1423.4022648775986
87,23.290517039448044,41084.784256457024,Second Semester,1350.164817962968
88,21.30554447250141,59183.41171021649,First Semester,1411.4723740224626
89,19.02220524340632,45472.993534917696,No Class,798.031124976778
90,23.446422855353283,32516.277199968194,Second Semester,1298.020422766116
91,22.98051156788636,67699.04109889355,First Semester,1442.6927232946289
92,21.64519087852421,26225.930746074795,First Semester,1450.6993510057787
93,20.716195205334323,55728.11529859585,Second Semester,1499.3068849432861
94,18.116281771881887,60172.492490846096,Second Semester,1411.872223313432
95,24.081957345590023,43690.321333394655,First Semester,1448.2723229350677
96,18.199221238558618,54442.870514115544,Second Semester,1391.824371182517
97,26.56199897904973,54391.30388388555,First Semester,1634.9877664825149
98,24.597831878555567,60406.23152914512,No Class,1039.9661140023927
99,19.29289892269857,54840.993879525224,First Semester,1513.343996916712
100,16.920737299079658,47551.162209074755,First Semester,1330.3819078390075
101,17.868780308902096,59159.92057940211,Second Semester,1311.244111518322
102,20.770651127469588,58006.223565097665,First Semester,1391.6613573235863
103,19.25992436461288,40634.30965864207,Second Semester,1234.162022797984
104,18.957372201806802,35992.12566004269,No Class,748.6817943544175
105,17.145144298204954,51602.77539993178,No Class,772.3682059458075
106,19.86491682557324,47260.37625224817,Second Semester,1295.8755299468546
107,17.64528659162877,40144.60887437704,Second Semester,1206.4132481711956
108,14.996174190235589,50839.306795150325,First Semester,1326.3698346426459
109,18.859320439136713,36800.03473513094,Second Semester,1016.9438235799472
110,22.7569898271823,51612.26351326199,First Semester,1370.5864295407448
